Proxy,,Key uncertainty 1?,Value: key uncertainty 1?  Select one option per row. [How uncertain is your key area?],,Value: key uncertainty 1?  Select one option per row. [How important is your key area?],,Tag1,Tag2,Oop
Fossils,Key uncertainty 3?,absolute dating of fossils,Moderate,3,Very,5,Chronostrat,,14
ClimaticallySensitiveLithologies,Key uncertainty 1?,Chronostratigraphy,Quite,4,Very,5,Chronostrat,,14
Igneous/MetamorphicLithologies,Key uncertainty 1?,Chronostratigraphy,Quite,4,Very,5,Chronostrat,,14
PalaeoMagnetics,Key uncertainty 1?,Chronostratigraphy,Quite,4,Very,5,Chronostrat,,14
Fossils,Key uncertainty 1?,Chronostratigraphy,Quite,4,Very,5,Chronostrat,,14
ClimaticallySensitiveLithologies,Key uncertainty 1?,Dating of proxies,Quite,4,Very,5,Chronostrat,,14
Igneous/MetamorphicLithologies,Key uncertainty 1?,Dating of proxies,Quite,4,Very,5,Chronostrat,,14
PalaeoMagnetics,Key uncertainty 1?,Dating of proxies,Quite,4,Very,5,Chronostrat,,14
Fossils,Key uncertainty 1?,Dating of proxies,Quite,4,Very,5,Chronostrat,,14
ClimaticallySensitiveLithologies,Key uncertainty 3?,detailed sedimentology,Quite,4,Very,5,Chronostrat,,14
Fossils,Key uncertainty 13,global biostratigraphy,Quite,4,Quite,4,Chronostrat,Taxonomy,14
Igneous/MetamorphicLithologies,Key uncertainty 4?,global vs. regional stages,Moderate,3,Quite,4,Chronostrat,,14
ClimaticallySensitiveLithologies,Key uncertainty 4?,global vs. regional stages,Moderate,3,Quite,4,Chronostrat,,14
Fossils,Key uncertainty 4?,global vs. regional stages,Moderate,3,Quite,4,Chronostrat,,14
Fossils,Key uncertainty 3?,Sequence stratigraphy,Very,5,Very,5,Chronostrat,,14
Fossils,Key uncertainty 3?,Temporal resolution,Quite,4,Moderate,3,Chronostrat,TemporalResoltuion,14
ClimaticallySensitiveLithologies,Key uncertainty 3?,Temporal resolution,Quite,4,Moderate,3,Chronostrat,TemporalResoltuion,14
Igneous/MetamorphicLithologies,Key uncertainty 3?,Temporal resolution,Quite,4,Moderate,3,Chronostrat,TemporalResoltuion,14
PalaeoMagnetics,Key uncertainty 3?,Temporal resolution,Quite,4,Moderate,3,Chronostrat,TemporalResoltuion,14
ClimaticallySensitiveLithologies,Key uncertainty 1?,formation conditions,Moderate,3,Very,5,FaciesFormation,,4
Fossils,Key uncertainty 8,Interpretation of environmental proxies,Quite,4,Quite,4,FaciesFormation,,4
ClimaticallySensitiveLithologies,Key uncertainty 8,Interpretation of environmental proxies,Quite,4,Quite,4,FaciesFormation,,4
Fossils,Key uncertainty 3?,Palaeoclimate indicators,Quite,4,Moderate,3,FaciesFormation,,4
ClimaticallySensitiveLithologies,Key uncertainty 4,paleoclimatic indicators,Quite,4,Very,5,FaciesFormation,,4
Fossils,Key uncertainty 4?,Patchy Cambrian geological record,Quite,4,Quite,4,FRStructure,Sampling,1
ClimaticallySensitiveLithologies,Key uncertainty 4?,Patchy Cambrian geological record,Quite,4,Quite,4,FRStructure,Sampling,1
Igneous/MetamorphicLithologies,Key uncertainty 4?,Patchy Cambrian geological record,Quite,4,Quite,4,FRStructure,Sampling,1
PalaeoMagnetics,Key uncertainty 1?,Ediacaran- Cambrian Palaeomagnetic Latitude Indicators,Very,5,Very,5,Lat-long,PalaeoMag,3
Igneous/MetamorphicLithologies,Key uncertainty 3?,Paleolatitude,Quite,4,Very,5,Lat-long,,3
ClimaticallySensitiveLithologies,Key uncertainty 3?,Paleolatitude,Quite,4,Very,5,Lat-long,,3
Fossils,Key uncertainty 3?,Paleolatitude,Quite,4,Very,5,Lat-long,,3
